ID,Zmiana,Cena,Link
62935056,Dodano,340 000 zł,https://www.otodom.pl/pl/oferta/cicha-i-zielona-okolica-idealne-pod-wynajem-ID4g4hy
65532310,Zakończono,249 900 zł,https://www.otodom.pl/pl/oferta/lubon-kawalerka-loggia-ostatnie-pietro-od-zaraz-ID4qXVK
65812784,Zakończono,215 701 zł,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-2-060-ID4s8Uv
65812796,Dodano,330 627 zł,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-4-053-ID4s8UI
65812799,Zakończono,271 975 zł,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-0-043-ID4s8UL
66257617,Zakończono,249 000 zł,https://www.otodom.pl/pl/oferta/idealny-lokal-pod-wynajem-po-remoncie-ID4u0Df
66296985,Dodano,328 018 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-prowizji-ID4uaSd
66296989,Dodano,331 715 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bezposrednio-ID4uaSh
66297031,Zakończono,325 629 zł,https://www.otodom.pl/hpr/pl/oferta/1-pokojowe-mieszkanie-28m2-bezposrednio-ID4uaSX
66297031,Zakończono,325 629 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bezposrednio-ID4uaSX
66463681,Zakończono,285 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-5-minut-pieszo-od-targow-ID4uSeR
66463681,Dodano,285 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-do-remontu-w-rewitalizowanej-kamienicy-lazarz-ID4uSeR
66599317,Zakończono,320 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-uslugowym-poznan-ID4wrvx
66599317,Dodano,340 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-uslugowym-poznan-ID4wrvx
66647516,Dodano,345 000 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-w-sercu-jezyc-plac-asnyka-ID4wE3V
66647516,Zakończono,355 000 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-w-sercu-jezyc-plac-asnyka-ID4wE3V
66713207,Zakończono,324 200 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-posrednikow-ID4wW9t
66713208,Dodano,336 600 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-ogrodek-bez-prowizji-ID4wW9u
66713231,Dodano,312 900 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-posrednikow-ID4wW9R
66716546,Zakończono,235 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-30-m-poznan-ID4wV1k
66783847,Zakończono,339 900 zł,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-na-sprzedaz-poznan-ul-turkusowa-bez-posrednikow-ID4vdvP
66814874,Dodano,43 000 zł,https://www.otodom.pl/pl/oferta/garaz-22-m2-ul-grudziniec-jezyce-ID4vlBg
66814874,Zakończono,53 000 zł,https://www.otodom.pl/pl/oferta/garaz-22-m2-ul-grudziniec-jezyce-ID4vlBg
66819142,Dodano,212 100 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-13m2-bezposrednio-ID4vmI6
66830544,Zakończono,299 900 zł,https://www.otodom.pl/pl/oferta/nowa-kawalerka-7-minut-jazdy-od-centrum-poznania-ID4vpG0
66852759,Zakończono,320 000 zł,https://www.otodom.pl/pl/oferta/przestronna-kawalerka-gorczyn-sprzedaz-bezposrednia-bez-prowizji-ID4vwsj
66852759,Dodano,320 000 zł,https://www.otodom.pl/pl/oferta/zarezerwowane-przestronna-kawalerka-gorczyn-sprzedaz-bezposrednia-ID4vwsj
66888479,Zakończono,2 200 zł,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-wynajem-top-lokalizacja-ID4vEKr
66916624,Zakończono,120 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-na-6-pietrze-z-winda-i-tarasem-tbs-ID4vM4o
66918710,Dodano,349 000 zł,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-2-pokoje-balkon-nowe-okna-ID4vMC2
66938830,Zakończono,345 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-dwupokojowa-poznan-okolice-solacza-i-rusalki-bezposrednio-ID4vRQy
66939231,Zakończono,241 000 zł,https://www.otodom.pl/pl/oferta/strych-na-jackowskiego-ID4vRX1
66941466,Zakończono,345 000 zł,https://www.otodom.pl/hpr/pl/oferta/2-pokoje-kawalerka-solacz-ul-turkusowa-ID4vSx4
66947039,Dodano,325 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-marcelinska-piwnica-ID4vTYX
66947039,Zakończono,330 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-marcelinska-piwnica-ID4vTYX
66966518,Dodano,309 000 zł,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-z-potencjalem-inwestycyjnym-wilda-ID4vZ38
66976140,Zakończono,299 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-idealna-pod-inwestycje-lub-na-wlasne-cele-mieszkaniowe-ID4x1yk
66976140,Dodano,309 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-ID4x1yk
66980201,Dodano,349 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4x2BP
66980201,Zakończono,354 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4x2BP
66987900,Zakończono,349 000 zł,https://www.otodom.pl/hpr/pl/oferta/3-pokoje-45-m-z-potencjalem-stare-miasto-ID4x4C0
67007105,Zakończono,354 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4x9BL
67010945,Dodano,335 000 zł,https://www.otodom.pl/hpr/pl/oferta/centrum-dluga-2-pokoje-47m-ID4xaBH
67017388,Zakończono,340 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-rataje-os-jagiellonskie-ID4xchC
67020766,Zakończono,295 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-antresola-w-centrum-jezyc-do-remontu-ID4xda6
67020766,Dodano,295 000 zł,https://www.otodom.pl/pl/oferta/rezerwacja-kawalerka-z-antresola-w-centrum-jezyc-ID4xda6
67021892,Zakończono,340 000 zł,https://www.otodom.pl/hpr/pl/oferta/top-loftowe-poddasze-do-wykonczenia-stare-miasto-centrum-ID4xdsg
67023217,Dodano,349 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-potencjalem-na-2-pokoje-i-duza-piwnica-horacego-strzeszyn-ID4xdND
67023217,Zakończono,350 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-potencjalem-na-2-pokoje-i-duza-piwnica-horacego-strzeszyn-ID4xdND
67030889,Dodano,320 000 zł,https://www.otodom.pl/pl/oferta/duza-kawalerka-z-niezalezna-kuchnia-piwnica-2-pietro-niski-bloku-ID4xfNn
67031270,Dodano,312 900 zł,https://www.otodom.pl/pl/oferta/jedno-z-najtanszych-mieszkan-na-rynku-pierwotnym-ID4xfTv
67031750,Dodano,173 175 zł,https://www.otodom.pl/pl/oferta/syndyk-sprzeda-mieszkanie-kawalerke-ul-grunwaldzka-224-ID4xg1g
67031767,Dodano,192 375 zł,https://www.otodom.pl/pl/oferta/syndyk-sprzeda-mieszkanie-w-poznaniu-udzial-osiedle-wichrowe-wzgorze-ID4xg1x
67034036,Dodano,349 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4xgC8
67037437,Dodano,335 000 zł,https://www.otodom.pl/pl/oferta/poznan-wilda-kawalerka-z-osobna-kuchnia-31m2-ID4xhuZ
67037487,Dodano,275 000 zł,https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-do-wlasnej-aranzacji-ID4xhwN
67038859,Dodano,350 000 zł,https://www.otodom.pl/pl/oferta/lokal-w-centrum-poznania-ul-zielona-31-65m2-ID4xhRW
67041811,Dodano,340 000 zł,https://www.otodom.pl/pl/oferta/zamieszkaj-w-klimatycznej-kamienicy-blisko-centrum-poznania-ID4xiDx
67041889,Dodano,339 000 zł,https://www.otodom.pl/pl/oferta/nowoczesne-studio-gotowiec-inwestycyjny-ID4xiEN
67043143,Dodano,249 000 zł,https://www.otodom.pl/pl/oferta/idealny-lokal-pod-wynajem-po-remoncie-ID4xiZ1
67043287,Dodano,341 000 zł,https://www.otodom.pl/pl/oferta/powstan-narodowych-kawalerka-przy-parku-rataje-ID4xj1l
